Jan,Kowalski,s1234,3/20/1991,Informatyka,Dzienne,kowalski@wp.pl,Jan,Anna
Natalia,Nowak,s1235,02/14/1995,Informatyka,Zaoczne,nnowak@op.pl,Karol,Leokadia
Julia,Kowalska,s1345,6/6/1996,Grafika,Dzienne,julka@wp.pl,Joachim,Joanna
Gabriel,Malinowski,s1222,11/1/1994,Architektura,Dzienne,gabby@gmail.com,Hieronim,Janina
Iwona,Paluch,s1567,12/24/1996,Informatyka,Dzienne,kitku@wp.pl,Lech,Olga
Adam,Niezgodka,s1357,04/26/1994,Architektura,Dzienne,kleks@gmail.com,Andrzej,Adela
Urban,Papiez,s1590,07/27/1992,Informatyka,Zaoczne,tiara@gmail.com,Nieznany,Justyna
Truong,Nguyen,s1458,07/30/1990,Informatyka,Dzienne,nt@wp.pl,Linh,Van
Ramona,Milek,s1898,03/24/1998,Grafika,Zaoczne,ramilek@tlen.pl,Julian,Anna
Ewa,Ferguson,s2000,05/10/1999,Architektura,Zaoczne,traktor@o2.pl,Theodore,Hanna
